,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box,category_map,brand_encoding,online_only_No,online_only_Yes,exclusive_No,exclusive_Yes,limited_edition_No,limited_edition_Yes,rating_map
34,AERIN,Perfume,4.5,0.3380281690140845,0.3118300526213214,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
35,AERIN,Perfume,4.5,0.1126760563380281,0.4287663223543169,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
36,AERIN,Perfume,5.0,-0.2347417840375587,-0.2929253556811538,30.0,Yes,No,No,5.892806489984965,3,66,0,1,1,0,1,0,1
37,AERIN,Perfume,3.5,0.056338028169014,-0.1364256480218281,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
38,AERIN,Perfume,4.5,0.1971830985915492,0.331319430910154,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
39,AERIN,Fragrance,4.5,0.056338028169014,0.4872344572208146,30.0,Yes,No,No,5.892806489984965,0,66,0,1,1,0,1,0,1
40,AERIN,Perfume,4.0,-0.0938967136150234,-0.0779575131553303,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
41,AERIN,Perfume,4.5,0.2347417840375587,0.4872344572208146,180.0,Yes,No,No,12.422911650629937,3,66,0,1,1,0,1,0,1
42,AERIN,Perfume,4.5,-0.1408450704225352,-0.2143831611771584,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
43,AERIN,Perfume,4.5,-0.0375586854460093,0.1364256480218281,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
44,AERIN,Perfume,4.5,-0.1690140845070422,-0.1559150263106607,130.0,Yes,No,No,10.963919948435288,3,66,0,1,1,0,1,0,1
45,AERIN,Perfume,4.0,-0.2253521126760563,-0.1169362697329955,175.0,Yes,No,No,12.29093891756338,3,66,0,1,1,0,1,0,1
46,AERIN,Perfume,4.0,-0.1220657276995305,-0.1754044045994932,175.0,Yes,No,No,12.29093891756338,3,66,0,1,1,0,1,0,1
47,Armani Beauty,Cologne,5.0,6.234741784037559,2.923406743324888,88.0,No,No,No,9.391288728612432,2,39,1,0,1,0,1,0,1
48,Armani Beauty,Perfume Gift Sets,0.0,-0.2535211267605634,-0.3260572987721691,88.0,No,Yes,Yes,9.391288728612432,1,39,1,0,0,1,0,1,1
49,Armani Beauty,Perfume,4.5,8.394366197183098,5.476515299161957,78.0,No,No,No,8.940999128028045,3,39,1,0,1,0,1,0,1
50,Armani Beauty,Perfume,4.5,3.173708920187793,4.326641980120834,97.0,No,No,No,9.766776201471876,3,39,1,0,1,0,1,0,1
51,Armani Beauty,Cologne,5.0,2.028169014084507,0.8575326447086338,72.0,No,No,No,8.651025360870298,2,39,1,0,1,0,1,0,1
52,Armani Beauty,Cologne,4.5,0.0,0.2143831611771584,77.0,No,No,No,8.893784278203992,2,39,1,0,1,0,1,0,1
53,Armani Beauty,Perfume,4.5,9.136150234741784,1.6176183979731047,97.0,No,No,No,9.766776201471876,3,39,1,0,1,0,1,0,1
54,Armani Beauty,Perfume,4.5,5.455399061032864,2.221789124926915,72.0,No,No,No,8.651025360870298,3,39,1,0,1,0,1,0,1
55,Armani Beauty,Cologne,0.0,-0.2535211267605634,-0.4123952445916975,138.0,No,No,No,11.221166881341228,2,39,1,0,1,0,1,0,1
56,Armani Beauty,Perfume,4.5,0.1784037558685446,0.4872344572208146,97.0,No,No,No,9.766776201471876,3,39,1,0,1,0,1,0,1
57,Armani Beauty,Cologne,5.0,-0.1408450704225352,-0.0974468914441629,126.0,No,No,No,10.831111229874148,2,39,1,0,1,0,1,0,1
58,Armani Beauty,Cologne,4.5,0.0845070422535211,-0.0584681348664977,100.0,No,No,No,9.886487181936577,2,39,1,0,1,0,1,0,1
59,Armani Beauty,Cologne,5.0,-0.0093896713615023,-0.0779575131553303,95.0,No,No,No,9.685517901520962,2,39,1,0,1,0,1,0,1
60,Armani Beauty,Perfume Gift Sets,4.0,-0.215962441314554,-0.0389787565776651,25.0,No,Yes,Yes,5.403531282328869,1,39,1,0,0,1,0,1,1
