,MAE,MSE,RMSE,R2,set,modelo
0,0.19625785547217928,0.07384780365661218,0.2717495237467992,0.9192166003999864,test,Linear Regresion
1,0.18136164263871646,0.06477880040728415,0.25451679788824183,0.9241303332734149,train,Linear Regresion
